Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;Цвет;Производитель;Ширина;Материал;Покрытие;"Угол открывания";Высота;"Единица измерения";Длина;"Нагрузка, N";"Размер чаши";"Установочный проем";"Общий размер";"Вес без упаковки";"Вес в упаковке";"Размеры упаковки";"Размер мойки";"Диаметр, мм";"Толщина стали,мм.";Размеры;Глубина;Диаметр;Толщина
"Мебель/Хромированная мебель/Стулья";Стул-Фагот-R;0.00;stul-fagot-r_2;1;;Delice;;;m-ch-092;;;;;;;92_stuljya_12_stul-fagot-r.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";твист;0.00;tvist_2;1;;Delice;;;m-ch-091;;;;;;;91_stuljya_11_tvist.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";Трель;0.00;trel_2;1;;Delice;;;m-ch-090;;;;;;;90_stuljya_10_trelj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";трилогия;0.00;trilogiya_2;1;;Delice;;;m-ch-089;;;;;;;89_stuljya_9_trilogiya.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";трилогия-R;0.00;trilogiya-r_2;1;;Delice;;;m-ch-088;;;;;;;88_stuljya_8_trilogiya-r.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";ТЮЛЬПАН-А;0.00;tyulpan-a_2;1;;Delice;;;m-ch-087;;;;;;;87_stuljya_7_tyuljpan-a.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";Тюльпан-М;0.00;tyulpan-m_2;1;;Delice;;;m-ch-086;;;;;;;86_stuljya_6_tyuljpan-m.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";ТЮЛЬПАН-Т;0.00;tyulpan-t_2;1;;Delice;;;m-ch-085;;;;;;;85_stuljya_5_tyuljpan-t.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";увертюра;0.00;uvertyura_2;1;;Delice;;;m-ch-084;;;;;;;84_stuljya_4_uvertyura.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";увертюра-R;0.00;uvertyura-r_2;1;;Delice;;;m-ch-083;;;;;;;83_stuljya_3_uvertyura-r.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";унисон;0.00;unison_2;1;;Delice;;;m-ch-082;;;;;;;82_stuljya_2_unison.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Стулья";Фагот;0.00;fagot_2;1;;Delice;;;m-ch-081;;;;;;;81_stuljya_1_fagot.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Этюд-2;0.00;etyud-2_2;1;;Delice;;;m-ch-080;;;;;;;80_stoly_32_etyud-2.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Элегия;0.00;elegiya_3;1;;Delice;;;m-ch-079;;;;;;;79_stoly_31_elegiya.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Фортепиано-111;0.00;fortepiano-111_2;1;;Delice;;;m-ch-078;;;;;;;78_stoly_30_fortepiano-111.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Тюльпан;0.00;tyulpan_3;1;;Delice;;;m-ch-077;;;;;;;77_stoly_29_tyuljpan.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Этюд;0.00;stol-etyud_2;1;;Delice;;;m-ch-076;;;;;;;76_stoly_28_stol-etyud.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Трио;0.00;stol-trio_2;1;;Delice;;;m-ch-075;;;;;;;75_stoly_27_stol-trio.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Премьер;0.00;stol-premer_2;1;;Delice;;;m-ch-074;;;;;;;74_stoly_26_stol-premjer.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Ноктюрн;0.00;stol-noktyurn_2;1;;Delice;;;m-ch-073;;;;;;;73_stoly_25_stol-noktyurn.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Маэстро;0.00;stol-maestro_2;1;;Delice;;;m-ch-072;;;;;;;72_stoly_24_stol-maestro.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Клавир;0.00;stol-klavir_2;1;;Delice;;;m-ch-071;;;;;;;71_stoly_23_stol-klavir.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Диалог;0.00;stol-dialog_2;1;;Delice;;;m-ch-070;;;;;;;70_stoly_22_stol-dialog.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Вокал;0.00;stol-vokal_2;1;;Delice;;;m-ch-069;;;;;;;69_stoly_21_stol-vokal.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Водевиль;0.00;stol-vodevil_2;1;;Delice;;;m-ch-068;;;;;;;68_stoly_20_stol-vodevilj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Стол-БЫЛИНА-ТАМБУРАТ;0.00;stol-bylina-tamburat_2;1;;Delice;;;m-ch-067;;;;;;;67_stoly_19_stol-bylina-tamburat.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол-Альт2;0.00;stol-alt2_2;1;;Delice;;;m-ch-066;;;;;;;66_stoly_18_stol-aljt2.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";стол--Болеро;0.00;stol--bolero_2;1;;Delice;;;m-ch-065;;;;;;;65_stoly_17_stol--bolero.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";СТЕКЛЯННЫЙ-СТОЛ-ОРГАН;0.00;steklyannyj-stol-organ_2;1;;Delice;;;m-ch-064;;;;;;;64_stoly_16_steklyannyy-stol-organ.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Серенада;0.00;serenada_3;1;;Delice;;;m-ch-063;;;;;;;63_stoly_15_serenada.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Ритм;0.00;ritm_3;1;;Delice;;;m-ch-062;;;;;;;62_stoly_14_ritm.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Полонез;0.00;polonez_3;1;;Delice;;;m-ch-061;;;;;;;61_stoly_13_polonez.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";"Орфей 2";0.00;orfej-2_4;1;;Delice;;;m-ch-060;;;;;;;60_stoly_12_orfey_2.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Оркестр;0.00;orkestr_3;1;;Delice;;;m-ch-059;;;;;;;59_stoly_11_orkestr.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Орган;0.00;organ_3;1;;Delice;;;m-ch-058;;;;;;;58_stoly_10_organ.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Опус-(пристенный)-2;0.00;opus-pristennyj-2_2;1;;Delice;;;m-ch-057;;;;;;;57_stoly_9_opus-(pristennyy)-2.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Набор-квартоль;0.00;nabor-kvartol_2;1;;Delice;;;m-ch-056;;;;;;;56_stoly_8_nabor-kvartolj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";колорит-1;0.00;kolorit-1_2;1;;Delice;;;m-ch-055;;;;;;;55_stoly_7_kolorit-1.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Квадро;0.00;kvadro_3;1;;Delice;;;m-ch-054;;;;;;;54_stoly_6_kvadro.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Диалог-111;0.00;dialog-111_2;1;;Delice;;;m-ch-053;;;;;;;53_stoly_5_dialog-111.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Версаль;0.00;versal_3;1;;Delice;;;m-ch-052;;;;;;;52_stoly_4_versalj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Баритон-(раздвижной)-1;0.00;bariton-razdvizhnoj-1_2;1;;Delice;;;m-ch-051;;;;;;;51_stoly_3_bariton-(razdvizhnoy)-1.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Баллада;0.00;ballada_3;1;;Delice;;;m-ch-050;;;;;;;50_stoly_2_ballada.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Столы";Арфа;0.00;arfa_3;1;;Delice;;;m-ch-049;;;;;;;49_stoly_1_arfa.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Табурет-Лира;0.00;taburet-lira_2;1;;Delice;;;m-ch-048;;;;;;;48_prochee_23_taburet-lira.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Стул-школьный;0.00;stul-shkolnyj_2;1;;Delice;;;m-ch-047;;;;;;;47_prochee_22_stul-shkoljnyy.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Скамья-Хит;0.00;skamya-hit_2;1;;Delice;;;m-ch-046;;;;;;;46_prochee_21_skamjya-hit.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Скамья-Обертон;0.00;skamya-oberton_2;1;;Delice;;;m-ch-045;;;;;;;45_prochee_20_skamjya-oberton.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Скамья-Вебер;0.00;skamya-veber_2;1;;Delice;;;m-ch-044;;;;;;;44_prochee_19_skamjya-veber.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Скамья-Антракт;0.00;skamya-antrakt_2;1;;Delice;;;m-ch-043;;;;;;;43_prochee_18_skamjya-antrakt.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";парта-школьная;0.00;parta-shkolnaya_2;1;;Delice;;;m-ch-042;;;;;;;42_prochee_17_parta-shkoljnaya.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";обувница-самба;0.00;obuvnitsa-samba_2;1;;Delice;;;m-ch-041;;;;;;;41_prochee_16_obuvnica-samba.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";обувница-гармония;0.00;obuvnitsa-garmoniya_2;1;;Delice;;;m-ch-040;;;;;;;40_prochee_15_obuvnica-garmoniya.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";КУХОННЫЙ-УГОЛ-ХИТ;0.00;kuhonnyj-ugol-hit_2;1;;Delice;;;m-ch-039;;;;;;;39_prochee_14_kuhonnyy-ugol-hit.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Кухонный-угол-ОБЕРТОН;0.00;kuhonnyj-ugol-oberton_2;1;;Delice;;;m-ch-038;;;;;;;38_prochee_13_kuhonnyy-ugol-oberton.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";КУХОННЫЙ-УГОЛ-ВЕБЕР-111;0.00;kuhonnyj-ugol-veber-111_2;1;;Delice;;;m-ch-037;;;;;;;37_prochee_12_kuhonnyy-ugol-veber-111.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";КУХОННЫЙ-УГОЛ-АНТРАКТ;0.00;kuhonnyj-ugol-antrakt_2;1;;Delice;;;m-ch-036;;;;;;;36_prochee_11_kuhonnyy-ugol-antrakt.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Кровать-односпальная;0.00;krovat-odnospalnaya_2;1;;Delice;;;m-ch-035;;;;;;;35_prochee_10_krovatj-odnospaljnaya.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Кровать-двухспальная;0.00;krovat-dvuhspalnaya_2;1;;Delice;;;m-ch-034;;;;;;;34_prochee_9_krovatj-dvuhspaljnaya.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Кресло;0.00;kreslo_2;1;;Delice;;;m-ch-033;;;;;;;33_prochee_8_kreslo.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Диван;0.00;divan_2;1;;Delice;;;m-ch-032;;;;;;;32_prochee_7_divan.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Вешалка-Эстрада;0.00;veshalka-estrada_2;1;;Delice;;;m-ch-031;;;;;;;31_prochee_6_veshalka-estrada.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Вешалка-Фидель;0.00;veshalka-fidel_2;1;;Delice;;;m-ch-030;;;;;;;30_prochee_5_veshalka-fidelj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Вешалка-Регаль;0.00;veshalka-regal_2;1;;Delice;;;m-ch-029;;;;;;;29_prochee_4_veshalka-regalj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Вешалка-Рапсодия;0.00;veshalka-rapsodiya_2;1;;Delice;;;m-ch-028;;;;;;;28_prochee_3_veshalka-rapsodiya.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Вешалка-Лимба;0.00;veshalka-limba_2;1;;Delice;;;m-ch-027;;;;;;;27_prochee_2_veshalka-limba.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Прочее";Вешалка-Кварта;0.00;veshalka-kvarta_2;1;;Delice;;;m-ch-026;;;;;;;26_prochee_1_veshalka-kvarta.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Этюд;0.00;etyud_2;1;;Delice;;;m-ch-025;;;;;;;25_podstoljya_25_etyud.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Элегия;0.00;elegiya_2;1;;Delice;;;m-ch-024;;;;;;;24_podstoljya_24_elegiya.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Фортепиано;0.00;fortepiano_2;1;;Delice;;;m-ch-023;;;;;;;23_podstoljya_23_fortepiano.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Тюльпан;0.00;tyulpan_2;1;;Delice;;;m-ch-022;;;;;;;22_podstoljya_22_tyuljpan.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Трио;0.00;trio_2;1;;Delice;;;m-ch-021;;;;;;;21_podstoljya_21_trio.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Серенада;0.00;serenada_2;1;;Delice;;;m-ch-020;;;;;;;20_podstoljya_20_serenada.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";САЛЮТ;0.00;salyut_2;1;;Delice;;;m-ch-019;;;;;;;19_podstoljya_19_salyut.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Ритм;0.00;ritm_2;1;;Delice;;;m-ch-018;;;;;;;18_podstoljya_18_ritm.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Полонез;0.00;polonez_2;1;;Delice;;;m-ch-017;;;;;;;17_podstoljya_17_polonez.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Орфей-2;0.00;orfej-2_3;1;;Delice;;;m-ch-016;;;;;;;16_podstoljya_16_orfey-2.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Оркестр;0.00;orkestr_2;1;;Delice;;;m-ch-015;;;;;;;15_podstoljya_15_orkestr.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Орган;0.00;organ_2;1;;Delice;;;m-ch-014;;;;;;;14_podstoljya_14_organ.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Ноктюрн;0.00;noktyurn_2;1;;Delice;;;m-ch-013;;;;;;;13_podstoljya_13_noktyurn.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Клавир;0.00;klavir_2;1;;Delice;;;m-ch-012;;;;;;;12_podstoljya_12_klavir.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Квартоль;0.00;kvartol_2;1;;Delice;;;m-ch-011;;;;;;;11_podstoljya_11_kvartolj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Квадро;0.00;kvadro_2;1;;Delice;;;m-ch-010;;;;;;;10_podstoljya_10_kvadro.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Диалог;0.00;dialog_2;1;;Delice;;;m-ch-009;;;;;;;9_podstoljya_9_dialog.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Вокал;0.00;vokal_2;1;;Delice;;;m-ch-008;;;;;;;8_podstoljya_8_vokal.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Водевиль;0.00;vodevil_2;1;;Delice;;;m-ch-007;;;;;;;7_podstoljya_7_vodevilj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Версаль;0.00;versal_2;1;;Delice;;;m-ch-006;;;;;;;6_podstoljya_6_versalj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель/Хромированная мебель/Подстолья";Бравис-(2);0.00;bravis-2_2;1;;Delice;;;m-ch-005;;;;;;;5_podstoljya_5_bravis-(2).jpg;;;;;;;;;;;;;;;;;;;;;;;;
